img_1,img_2,y_true,gender,ethnicity,segment_1,segment_2,angle,x_dist,y_dist,z_dist
pgqsxwazah_1.jpg,wczcanwito_1.jpg,0,Male x Male,Black x White,Male & White,Male & Black,3.473242528873862,3.347202777862549,2.33779525756836,2.6817283630371094
ilwgvqfoow_2.jpg,ilwgvqfoow_1.jpg,1,Male x Male,Black x Black,Male & Black,Male & Black,37.34857230824676,4.601640343666077,37.00581395626068,1.275085151195526
jxptrfnjnv_1.jpg,jxptrfnjnv_2.jpg,1,Male x Male,White x White,Male & White,Male & White,14.997190981973771,6.016525745391846,13.880485534667969,3.0655767917633057
wxqfoshcyh_1.jpg,wxqfoshcyh_2.jpg,1,Female x Female,White x White,Female & White,Female & White,20.20370533620677,3.731229782104492,18.88697624206543,8.154296875
edkaqxohou_1.jpg,ofhawnnkpg_1.jpg,0,Female x Female,White x White,Female & White,Female & White,24.330942154043235,17.97799062728882,15.75398588180542,3.028539776802063
pocshhgmza_1.jpg,nneslqrbil_1.jpg,0,Male x Male,Asian x White,Male & White,Male & Asian,8.338193266697349,3.758975982666016,6.534637451171875,5.577987104654312
oznfaqsocm_1.jpg,oznfaqsocm_2.jpg,1,Male x Male,White x White,Male & White,Male & White,21.80981370156844,3.390940487384796,21.2253999710083,3.785564541816712
hijzaszrgt_1.jpg,hijzaszrgt_2.jpg,1,Male x Male,White x White,Male & White,Male & White,29.95375354824074,14.826420664787292,26.48046588897705,1.909062147140503
zcikamrbvo_1.jpg,zcikamrbvo_2.jpg,1,Male x Male,Asian x Asian,Male & Asian,Male & Asian,18.282184485629035,18.57756996154785,2.8304977416992188,1.462313175201416
hxwzqzhpwu_2.jpg,ligtyoziqa_1.jpg,0,Male x Male,White x White,Male & White,Male & White,6.6545065234552325,6.778836488723755,0.6011457443237305,1.6716636419296265
sntjrtfvzk_1.jpg,sntjrtfvzk_2.jpg,1,Female x Female,Asian x Asian,Female & Asian,Female & Asian,10.60994551157058,2.0035321712493896,9.588871479034424,4.343966543674469
bqjzboekgq_1.jpg,bqjzboekgq_2.jpg,1,Male x Male,Asian x Asian,Male & Asian,Male & Asian,22.725224545690978,0.1073377132415771,22.56899642944336,2.662097334861756
judibffwtt_1.jpg,judibffwtt_2.jpg,1,Female x Female,Black x Black,Female & Black,Female & Black,32.44492243436039,8.322826147079468,23.83879494667053,21.976961612701416
xjmzyrohgl_2.jpg,xjmzyrohgl_1.jpg,1,Male x Male,White x White,Male & White,Male & White,20.963398864338437,1.027277946472168,20.938214778900143,0.5133395344018936
moccoopwva_1.jpg,epzbyhcism_1.jpg,0,Male x Male,White x White,Male & White,Male & White,15.429199824932333,4.526674926280975,9.569292068481444,12.437533497810364
mqsplyvrec_1.jpg,mqsplyvrec_2.jpg,1,Female x Female,Asian x Asian,Female & Asian,Female & Asian,17.656387668441898,15.747924447059631,8.171187281608582,1.2453047633171082
vjlsnouafs_1.jpg,vjlsnouafs_2.jpg,1,Female x Female,White x White,Female & White,Female & White,6.501200342783634,4.376606464385986,4.761341094970703,0.209879882633686
dpilvzbrmr_2.jpg,dpilvzbrmr_1.jpg,1,Female x Female,Asian x Asian,Female & Asian,Female & Asian,10.443377782107987,7.557482719421387,6.708246231079102,1.0296014547348022
kchzyqwlye_1.jpg,rlyvmgsyov_1.jpg,0,Male x Male,White x White,Male & White,Male & White,45.20494088813796,9.475906372070312,43.57723712921143,12.957640290260317
